# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-a" "chr19.gtf" "-o" "raw_counts.txt" "sample1_sorted.bam" "sample2_sorted.bam" "control1_sorted.bam" "control2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	sample1_sorted.bam	sample2_sorted.bam	control1_sorted.bam	control2_sorted.bam
ENSMUSG00000118072	19	27489908	27490679	+	772	18	25	16	22
ENSMUSG00000088266	19	27681276	27681407	-	132	0	0	0	0
ENSMUSG00000040929	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	27739121;27739127;27745539;27745541;27745718;27745855;27748029;27748029;27748029;27748029;27748029;27748029;27764014;27764014;27764014;27764014;27764014;27764014;27771011;27771011;27771011;27771011;27771011;27771011;27777517;27777517;27777517;27777517;27777517;27777517;27779782;27779782;27779782;27779782;27779782;27779782;27782543;27783588;27783588;27783588;27783588;27783588;27784193;27784193;27784193;27784193;27784193;27784193;27790978;27790978;27790978;27790978;27790978;27790978;27790978;27792885;27792885;27792885;27792885;27792885;27792885;27792885;27803433;27803433;27803433;27803433;27803433;27803433;27803433;27808011;27808011;27808011;27808011;27808011;27808011;27808053;27814171;27814807;27814807;27814807;27814807;27827111;27827111;27827111;27827111;27827111;27827111;27844913;27844913;27844913;27844913;27844913;27844913;27844915;27878179;27878179;27878179;27878179;27878179;27878179;27878179;27900608;27900608;27900608;27960254;27960254;27988069;27988372;27988372;27988372;27988372	27746093;27746093;27746093;27746093;27746093;27746093;27748071;27748071;27748071;27748071;27748071;27748071;27764167;27764167;27764167;27764167;27764167;27764167;27771219;27771219;27771219;27771219;27771219;27771219;27777666;27777666;27777666;27777666;27777666;27777666;27779879;27779879;27779879;27779879;27779879;27779879;27784308;27783742;27783742;27783742;27783742;27783742;27784308;27784308;27784308;27784308;27784308;27784308;27791090;27791090;27791090;27791090;27791090;27791090;27791090;27793006;27793006;27793006;27793006;27793006;27793006;27793006;27803552;27803552;27803552;27803552;27803552;27803552;27803552;27808192;27808192;27808192;27808192;27808192;27808192;27808192;27814246;27814881;27814881;27814881;27814881;27827369;27827369;27827369;27827369;27827369;27827369;27845010;27845010;27845010;27845010;27845010;27845010;27845010;27878303;27878303;27878303;27878295;27878303;27878303;27878303;27900666;27900666;27900666;27960348;27960346;27988190;27988566;27988445;27988540;27988448	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11034	806	1254	1712	1671
ENSMUSG00000025085	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	57021165;57021322;57021699;57021706;57024715;57024850;57024911;57025116;57025398;57025436;57025572;57025614;57025683;57027839;57027839;57027839;57027839;57027839;57027839;57027839;57027839;57027839;57027839;57027839;57027839;57027839;57027879;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57028919;57029486;57029847;57029847;57029847;57029847;57029847;57029847;57029847;57029847;57029847;57029847;57029847;57029847;57029847;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57030347;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57031429;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57032228;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57033313;57035357;57035357;57035357;57035357;57035357;57035357;57035357;57035357;57035357;57035357;57035357;57035357;57036799;57037894;57037894;57037894;57037894;57037894;57037894;57037894;57037894;57037894;57037894;57037894;57037894;57037894;57039562;57039562;57039562;57039562;57039562;57039562;57039562;57039562;57047517;57047517;57049396;57049685;57049685;57049685;57049685;57049685;57049685;57049685;57049685;57049685;57049685;57049685;57049685;57049685;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57052198;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57056523;57057292;57057292;57057292;57057292;57057292;57057292;57057292;57057292;57057292;57057292;57057292;57057292;57057292;57062287;57062287;57065734;57065846;57065846;57065846;57065846;57065846;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57068245;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57071948;57104454;57107184;57107184;57107184;57107184;57107184;57118696;57119038;57119278;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57121294;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57123014;57124116;57140705;57140705;57140705;57140705;57140705;57140705;57140705;57140705;57140705;57140705;57140705;57143584;57143584;57143584;57143584;57143584;57143584;57143584;57143584;57143584;57143584;57143584;57161757;57161757;57161757;57161757;57161757;57161757;57161757;57161757;57161757;57161757;57161757;57170658;57185731;57185731;57185731;57185731;57204146;57204146;57227609;57227609;57303125;57303125	57025769;57025769;57025769;57025769;57025769;57025769;57025769;57025769;57025769;57025769;57025769;57025769;57025769;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57027919;57028993;57028993;57030407;57028993;57028993;57028993;57028993;57028993;57028993;57028993;57028993;57028993;57028993;57028993;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57029854;57030407;57030403;57030407;57030407;57030407;57030407;57030407;57030407;57030407;57030407;57030407;57030407;57030407;57030407;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57031493;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57032330;57033404;57033374;57033404;57033404;57033404;57033404;57033404;57033404;57033404;57033404;57033404;57033404;57033404;57033404;57033404;57035497;57035670;57035503;57035503;57035497;57035497;57035503;57035497;57035497;57035497;57035497;57035497;57036865;57037941;57037941;57037941;57037941;57037941;57037941;57037941;57037941;57037941;57037941;57037941;57037941;57037941;57039666;57039666;57039666;57039666;57039666;57039666;57039666;57039666;57047636;57047636;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57049814;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57052233;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57056678;57057369;57057369;57057369;57057369;57057369;57057369;57057369;57057369;57057369;57057369;57057369;57057369;57057369;57062334;57062334;57065929;57065929;57065929;57065929;57065929;57065929;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57068303;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57072035;57104897;57107441;57107456;57107345;57107439;57107441;57119419;57119419;57119419;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57121387;57123140;57123140;57123140;57123109;57123140;57123140;57123140;57123140;57123140;57123140;57123140;57123140;57123140;57123140;57124157;57140814;57140814;57140814;57140814;57140814;57140814;57140814;57140814;57140814;57140814;57140814;57143767;57143767;57143767;57143767;57143767;57143767;57143767;57143767;57143767;57143767;57143767;57161891;57161891;57161891;57161891;57161891;57161891;57161891;57161891;57161891;57161891;57161891;57170740;57185928;57185823;57185888;57186063;57204397;57204464;57228293;57227761;57303343;57303351	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11949	773	1610	1119	1692
ENSMUSG00000092617	19	27835458	27835897	+	440	201	206	200	213
ENSMUSG00000092182	19;19	27971597;27972625	27971725;27973093	+;+	598	0	0	3	1
ENSMUSG00000117788	19	28010864	28011341	+	478	4058	4597	5667	4548
ENSMUSG00000101084	19;19	28066256;28066623	28066345;28067164	+;+	632	0	0	0	0
ENSMUSG00000117862	19	28123496	28123703	-	208	185	230	280	263
ENSMUSG00000052942	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	28236251;28239747;28239764;28239826;28240373;28241262;28241262;28241262;28241262;28241262;28241351;28261052;28261052;28261052;28261052;28261052;28261052;28276178;28276178;28276178;28276178;28276178;28277721;28294654;28294654;28294654;28294654;28303295;28326973;28331606;28331606;28331606;28331606;28335191;28335191;28335191;28335191;28508273;28508273;28508273;28508273;28509247;28509247;28509247;28517601;28517601;28517601;28517601;28517601;28643153;28643153;28643153;28643153;28643153;28643153;28655975;28655975;28656996;28656996;28656996	28240515;28240515;28240515;28240515;28240515;28241444;28241444;28241444;28241444;28241444;28241444;28261306;28261227;28261227;28261227;28261227;28261227;28276346;28276346;28276346;28276346;28276346;28277825;28294813;28294813;28294813;28294813;28303406;28327427;28331716;28331716;28331716;28331716;28335352;28335352;28335352;28335352;28509386;28509386;28509386;28509386;28509386;28509386;28509386;28517808;28517808;28517808;28517820;28517808;28643636;28643636;28644085;28643636;28643636;28643636;28656090;28656090;28657477;28657066;28657477	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8842	68	96	146	102
ENSMUSG00000089952	19;19	28557933;28560618	28560072;28560694	-;-	2217	0	2	0	2
ENSMUSG00000097735	19;19;19;19;19;19;19;19;19;19	28655624;28655628;28664015;28664015;28668087;28671405;28671405;28694605;28696610;28696610	28655705;28655705;28664154;28664154;28668158;28671606;28671606;28694679;28697427;28697152	+;+;+;+;+;+;+;+;+;+	1389	0	1	0	3
ENSMUSG00000067351	19	28719559	28719951	-	393	546	431	766	449
ENSMUSG00000090737	19	28740561	28740830	-	270	1606	1720	2261	2265
ENSMUSG00000056917	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	5701213;5701216;5701219;5701222;5701222;5701235;5701255;5701664;5701664;5701664;5701664;5701664;5701664;5701664;5701934;5701934;5701934;5701934;5701934;5701934;5701934;5701946;5702073;5702073;5702073;5702073;5702073;5702073;5702073;5702289;5702289;5702289;5702289;5702289;5702289;5702289;5702289;5702483;5702483;5702483;5702483;5702483;5702483;5702483;5702567;5702683;5702683;5702683;5702683;5702683;5702683;5702683;5702683;5703592;5704027;5704027;5704027;5704027;5704027;5704027;5704027;5704027;5704575;5704575;5704575;5704575;5704575;5704575;5704575;5704575;5704575;5705286;5705286;5705286;5705286;5705286;5705286;5705286;5705286;5705716;5705716;5705716;5705716;5705716;5705716;5705716;5705716;5706182;5706182;5706182;5706182;5706182;5706182;5706182;5706182;5709362;5709362;5709362;5709362;5709362;5709362;5709362;5709362;5709624;5709624;5709624;5709624;5709624;5709624;5709624;5709624;5710342;5710342;5710342;5710342;5710342;5710342;5710342;5710342;5710907;5711039;5711049;5711624;5711624;5711624;5711624;5711624;5711624;5712616;5712616;5712616;5713632;5713632;5713632;5713632;5713632;5713632;5713632;5713632;5713632;5713632	5701590;5701590;5701590;5701590;5701590;5701590;5701590;5701742;5701742;5701742;5701742;5701742;5701742;5701742;5701988;5701988;5701988;5701988;5701988;5701988;5701988;5702174;5702174;5702174;5702174;5702174;5702174;5702174;5702174;5702397;5702304;5702397;5702397;5702397;5702397;5702397;5702397;5702594;5702594;5702594;5702594;5702594;5702594;5702594;5702594;5702901;5702767;5702901;5702901;5702901;5702901;5702901;5702901;5704301;5704301;5704301;5704301;5704301;5704301;5704301;5704301;5704301;5705184;5705184;5704865;5705184;5705184;5705184;5705184;5705184;5705184;5705443;5705443;5705443;5705443;5705443;5705443;5705443;5705443;5705819;5705819;5705819;5705819;5705819;5705819;5705819;5705819;5706356;5706356;5706356;5706356;5706356;5706356;5706356;5706356;5709538;5709538;5709538;5709538;5709538;5709538;5709538;5709538;5709751;5709751;5709751;5709751;5709751;5709751;5709751;5709751;5711139;5711139;5711109;5710426;5711139;5711139;5711139;5711139;5711139;5711139;5711139;5711651;5711686;5711686;5711654;5711663;5711654;5712869;5712869;5712869;5713655;5713735;5713723;5713683;5713664;5713680;5713688;5713688;5713648;5713708	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4419	252	253	282	337
ENSMUSG00000098069	19	28789806	28790602	-	797	0	0	0	0
ENSMUSG00000024935	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	28812449;28812474;28812535;28812535;28856413;28856413;28856413;28870235;28870235;28870413;28871854;28871854;28873193;28873484;28873484;28873484;28874907;28874907;28874907;28874907;28878842;28878842;28878842;28878842;28880086;28880086;28880086;28880086;28882012;28882012;28882012;28882012;28882733;28882733;28882733;28882733;28886831;28886831;28886831;28889054;28889054;28889054	28812732;28812732;28814819;28812732;28856553;28856701;28856553;28870327;28870327;28871968;28871968;28871968;28873526;28873526;28873526;28873526;28875002;28875002;28875002;28875002;28879026;28879026;28879026;28879026;28880193;28880193;28880193;28880193;28882134;28882134;28882134;28882134;28882927;28882927;28883392;28882927;28886965;28886965;28886965;28890038;28889277;28891360	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8257	1183	1637	1727	2019
ENSMUSG00000089993	19	28839730	28841107	-	1378	4318	4221	5609	5216
ENSMUSG00000054843	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	57599466;57617517;57618658;57626884;57630852;57638690;57641355;57643203;57645487;57661551;57670803;57673936;57675091;57680199;57684606;57687949;57690420;57695347;57703018;57719984;57728612;57740062;57741657;57743893;57766316;57785857;57924029;58030760;58119525	57600075;57617600;57618771;57627012;57631060;57638864;57641442;57643458;57645670;57661705;57670887;57674144;57675209;57680331;57684787;57688162;57690608;57695565;57703155;57720077;57728664;57740156;57741735;57744050;57766377;57785935;57924136;58030874;58121775	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6586	249	475	506	644
ENSMUSG00000093757	19	58039599	58039668	+	70	0	0	0	0
ENSMUSG00000117871	19;19	58080246;58084151	58082423;58084463	-;-	2491	0	1	4	4
ENSMUSG00000087002	19;19	58192571;58224064	58192816;58224479	+;+	662	0	0	0	0
ENSMUSG00000064202	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	28870442;28873481;28874905;28878668;28878842;28880086;28882009;28882731;28886831;28889054;28900464;28900930;28900933;28900967;28901088;28901088;28905049;28905049;28905049;28905049;28905049;28905049;28905948;28905948;28905948;28905948;28905948;28905948;28906525;28915632;28915632;28915632;28915632;28915632;28916535;28916535;28916535;28916535;28916535;28919112;28919112;28919112;28919112;28919112;28921624;28921624;28921624;28921624;28921633;28923151;28923151;28923151;28923151;28923151;28926019;28926019;28926019;28926019;28926019;28926131;28931490;28931490;28931490;28937080;28937080;28937080;28937080;28937080;28940936;28940936;28940936;28940936;28940936;28940936;28941167;28941221;28944994;28944994	28871965;28873524;28875002;28879118;28879026;28880190;28882132;28882927;28886965;28889279;28901102;28901102;28901102;28901102;28901102;28901102;28905150;28905150;28905150;28905150;28905150;28905150;28906032;28906032;28906032;28906032;28906032;28906032;28906627;28915819;28915819;28915819;28915819;28915819;28916569;28916569;28916569;28916569;28916569;28919214;28919214;28919214;28919214;28919214;28921854;28921854;28921854;28921854;28921854;28923231;28923231;28923231;28923231;28923231;28926143;28926143;28926143;28926143;28926143;28926143;28931531;28931531;28931531;28937128;28937128;28937128;28937128;28937128;28941073;28940987;28940987;28941073;28941073;28941073;28941308;28941554;28945200;28945130	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5420	32	27	77	35
ENSMUSG00000025089	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	58224036;58224044;58225124;58226594;58226594;58227686;58227686;58227686;58227686;58227686;58246160;58252344;58252344;58252344;58252344;58252344;58255431;58255431;58255431;58255431;58255431;58258486;58258486;58258486;58258486;58258486;58288674;58288674;58288674;58288674;58288674;58381005;58381005;58381005;58381005;58440401;58440401;58440401;58440401;58440401;58441596;58441596;58441596;58441596;58441596;58441767;58441784;58441853;58442741;58442741;58442741;58442741;58442741;58442741;58442741;58442741;58442756;58443306;58443453;58443630;58443630;58443679;58443893	58226978;58226978;58226978;58226978;58226978;58227739;58227739;58227739;58227739;58227739;58246245;58252525;58252525;58252525;58252525;58252525;58255565;58255565;58255565;58255565;58255565;58258595;58258595;58258595;58258595;58258595;58289010;58289010;58289010;58289010;58289010;58381019;58381019;58381019;58381019;58440484;58440484;58440484;58440484;58440484;58441889;58441889;58441889;58441889;58441889;58441889;58441889;58441889;58442898;58443052;58443026;58443026;58443026;58443026;58443024;58443026;58443026;58443438;58443593;58443791;58443830;58443733;58444341	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5476	817	819	566	1016
ENSMUSG00000118253	19	58477713	58478034	+	322	200	183	311	233
ENSMUSG00000025090	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	58500424;58500453;58500743;58500743;58501048;58501048;58514280;58514280;58515704;58515704;58524993;58525694;58539856;58539860;58541284;58541284	58500458;58500497;58500867;58500867;58501133;58501133;58514396;58514396;58515869;58515869;58525094;58525796;58539947;58539947;58541460;58541517	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1099	0	2	0	1
ENSMUSG00000100001	19;19;19	58594761;58617338;58617768	58594921;58617500;58618185	+;+;+	742	2	2	1	1
ENSMUSG00000046008	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	58640930;58658797;58658797;58658838;58658971;58658971;58660135;58660135;58660135;58660135;58661514;58661514;58661514;58662180;58662180;58662180;58663486;58663486;58664633;58664865;58665557;58667936;58668471;58669172;58670096	58641302;58658824;58658824;58659016;58659016;58659016;58660289;58660289;58660167;58660289;58661636;58661636;58661636;58662314;58662314;58662516;58663597;58663597;58664752;58664984;58665675;58668065;58668579;58669336;58670220	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2195	2	0	8	6
ENSMUSG00000118223	19;19	58683953;58684309	58683999;58684609	+;+	348	0	0	1	0
ENSMUSG00000042179	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	58717319;58717424;58717557;58718334;58718409;58718409;58718907;58718907;58718907;58718928;58720456;58720456;58720456;58720550;58721788;58721788;58721788;58721788;58723075;58723075;58723075;58723305;58723305;58723305;58725422;58725423;58725423;58726578;58726578;58726578;58728868;58728878;58728878;58729521;58729521;58732479	58717474;58717605;58717605;58718563;58718563;58718563;58719032;58719032;58719032;58719032;58720590;58720590;58720590;58720590;58721874;58721896;58721896;58721896;58723194;58723194;58723194;58723424;58723366;58723424;58725541;58725541;58725541;58726707;58726634;58726707;58728986;58729240;58728986;58729870;58729688;58732601	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2223	0	2	1	0
